ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1	4	7	0.000000	1238.000000	600.000000	0.000000	0.000000	0	525	0
2	1	3	3	0.000000	419.000000	419.000000	0.000000	0.000000	0	165	0
3	1	4	3	0.000000	1124.000000	1124.000000	0.000000	0.000000	0	498	0
4	1	12	21	0.000000	5157.000000	580.000000	0.000000	0.000000	0	2066	0
5	1	3	2	0.000000	462.000000	462.000000	0.000000	0.000000	0	255	0
6	1	3	3	0.000000	440.000000	440.000000	0.000000	0.000000	0	212	0
7	1	3	3	0.000000	707.000000	707.000000	0.000000	0.000000	0	339	0
8	1	3	7	0.000000	1527.000000	799.000000	0.000000	0.000000	0	595	0
9	1	7	7	0.000000	2186.000000	1058.000000	0.000000	0.000000	0	887	0
10	1	4	4	0.000000	908.000000	908.000000	0.000000	0.000000	0	419	0
11	1	3	3	0.000000	1168.000000	1168.000000	0.000000	0.000000	0	522	0
12	1	4	4	0.000000	930.000000	930.000000	0.000000	0.000000	0	401	0
13	1	7	6	0.000000	5490.000000	1039.000000	0.000000	0.000000	0	1755	0
14	1	6	9	0.000000	2224.000000	889.000000	0.000000	0.000000	0	863	0
15	1	1	5	0.000000	1254.000000	583.000000	0.000000	0.000000	0	581	0
16	1	4	7	0.000000	2082.000000	1206.000000	0.000000	0.000000	0	822	0
17	1	3	3	0.000000	397.000000	397.000000	0.000000	0.000000	0	205	0
18	1	8	5	0.000000	1534.000000	696.000000	0.000000	0.000000	0	658	0
19	1	3	2	0.000000	705.000000	705.000000	0.000000	0.000000	0	323	0
20	1	2	3	0.000000	518.000000	518.000000	0.000000	0.000000	0	218	0
21	1	3	4	0.000000	625.000000	625.000000	0.000000	0.000000	0	257	0
22	1	3	3	0.000000	931.000000	931.000000	0.000000	0.000000	0	395	0
23	1	4	4	0.000000	1304.000000	1304.000000	0.000000	0.000000	0	582	0
24	1	2	4	0.000000	1439.000000	1439.000000	0.000000	0.000000	0	589	0
25	1	4	4	0.000000	1005.000000	1005.000000	0.000000	0.000000	0	473	0
26	1	5	4	0.000000	776.000000	776.000000	0.000000	0.000000	0	379	0
27	1	4	2	0.000000	470.000000	470.000000	0.000000	0.000000	0	244	0
28	1	4	4	0.000000	528.000000	528.000000	0.000000	0.000000	0	226	0
29	1	5	3	0.000000	633.000000	633.000000	0.000000	0.000000	0	274	0
30	1	4	5	0.000000	633.000000	633.000000	0.000000	0.000000	0	283	0
31	1	4	4	0.000000	989.000000	989.000000	0.000000	0.000000	0	430	0
32	1	4	4	0.000000	1151.000000	1151.000000	0.000000	0.000000	0	490	0
33	1	4	4	0.000000	1046.000000	1046.000000	0.000000	0.000000	0	424	0
34	1	4	4	0.000000	665.000000	665.000000	0.000000	0.000000	0	311	0
35	1	4	4	0.000000	652.000000	652.000000	0.000000	0.000000	0	302	0
36	1	4	4	0.000000	784.000000	784.000000	0.000000	0.000000	0	354	0
37	1	4	2	0.000000	956.000000	956.000000	0.000000	0.000000	0	458	0
38	1	2	2	0.000000	504.000000	504.000000	0.000000	0.000000	0	245	0
39	1	4	3	0.000000	1314.000000	1314.000000	0.000000	0.000000	0	530	0
40	1	4	4	0.000000	902.000000	902.000000	0.000000	0.000000	0	381	0
